<<<<<<< HEAD
0.544811	0.61179
0.545869	0.54107
0.546635	0.49286
0.547306	0.54964
0.547363	0.60321
0.548263	0.45786
0.548535	0.55643
0.548718	0.59464
0.549768	0.56393
0.550006	0.57214
0.550248	0.58107
0.553421	0.49393
0.555035	0.45607
0.557616	0.49536
0.560818	0.4975
0.561214	0.45536
0.566811	0.49964
0.567596	0.45536
0.5726	0.50071
0.575175	0.45536
0.578987	0.50179
0.580962	0.45607
0.584572	0.50179
0.58715	0.45714
0.589747	0.49964
0.592141	0.45821
0.594319	0.49643
0.595943	0.46071
0.599085	0.49214
0.599751	0.46464
0.60136	0.4675
0.601654	0.48714
0.60239	0.47429
0.603212	0.47929
0.60239	0.47429
=======
127.817	228.97
129.95	219.42
131.236	234.18
132.169	224.75
134.518	213.02
135.014	230.68
135.215	230.68
140.045	225.86
142.059	213.28
143.236	204.93
148.224	199.02
149.419	224.18
153.665	227.46
157.663	221.91
159.749	200.98
163.26	195.79
165.401	222.05
170.79	226.29
172.71	196.05
176.248	201.75
176.358	201.99
178.233	206.23
180.632	226.32
186.324	207.7
187.782	226.82
192.082	206.02
194.214	226.96
195.229	290.84
195.415	303.18
197.041	313.83
197.148	280.92
197.271	210.27
200.216	328.12
201.078	296.54
201.284	296.66
201.44	226.85
202.33	318.08
202.43	318.08
203.965	334.06
204.479	270.78
205.961	277.8
206.062	277.8
207.074	211.86
208.073	226.99
208.248	264.5
209.005	334.55
209.316	334.8
210.506	344.6
212.773	254.47
214.601	227.01
215.278	264.51
215.379	251.81
215.986	264.64
217.325	349.45
217.399	208.86
218.523	209.35
219.804	226.53
221.194	348.25
221.639	250.13
221.716	348.74
222.767	258.36
224.122	226.54
226.139	359.03
226.557	300.96
227.054	308.46
228.196	245.79
228.61	291.89
229.043	226.56
229.077	209.62
229.631	322.87
230.818	314.76
231.546	297.58
231.632	284.52
232.58	361.95
233.38	328.8
235.872	226.57
235.916	209.88
236.988	86.95
237.267	251.74
237.297	328.81
237.601	280.54
237.61	77.27
237.959	287.07
238.069	287.32
238.583	335.96
239.417	110.31
239.427	102.93
239.46	96.15
239.588	122.29
239.661	96.15
239.683	244.25
239.746	116.12
239.964	358.22
240.167	116.6
240.265	358.22
240.434	133.54
240.506	137.9
240.52	128.1
240.649	133.91
240.721	143.34
241.232	151.21
241.681	366.09
241.697	226.59
241.791	160.28
241.891	167.91
242.309	226.83
242.723	173.72
243.057	182.19
243.158	276.32
243.192	73.66
243.282	190.41
243.334	199.37
243.335	74.75
243.597	203.48
243.657	339.84
243.773	205.42
244.161	210.14
244.564	367.91
245.397	63.38
247.906	279.6
248.026	280.08
248.344	227.09
248.549	336.58
248.791	274.03
248.965	242.82
250.289	62.67
251.854	343.97
252.455	364.3
252.551	364.18
252.56	377.13
252.564	377.25
252.785	72.47
252.876	72.23
253.808	383.3
254.052	272.47
254.378	250.21
256.077	227.11
257.161	366.49
257.428	373.27
257.994	344.35
258.716	243.08
259.021	75.27
259.025	278.9
259.111	278.53
261.172	384.17
261.5	339.04
261.504	339.16
262.43	273.58
262.495	226.88
262.514	227.36
263.262	378.6
263.664	378.61
263.755	85.81
264.29	96.82
266.353	243.22
266.454	342.44
267.677	274.2
267.886	101.43
268.48	381.04
270.008	129.74
270.176	116.19
270.373	281.47
270.409	129.74
270.479	363.01
270.519	137.61
270.581	251.1
270.728	366.77
270.785	370.76
270.79	370.88
270.809	368.82
270.873	144.02
271.016	152.73
271.165	227.75
271.388	159.63
271.55	173.91
271.805	340.63
271.928	178.39
272.038	173.55
272.053	166.29
272.167	186.98
272.215	376.45
272.396	192.78
272.644	199.08
272.807	193.03
273.179	210.09
273.25	336.52
273.294	205.37
273.476	209.97
274.993	278.94
275.636	246.88
275.706	365.69
277.205	228.13
277.687	339.56
279.607	210.1
280.545	282.22
280.972	364.25
281.339	289.6
282.019	360.26
282.115	360.14
282.743	228.5
282.748	228.62
282.967	249.43
283.029	334.98
283.322	210.11
283.857	327.96
284.072	328.32
285.341	289.25
285.917	362.33
286.043	210.36
286.486	257.19
287.531	301.47
287.651	301.96
288.061	314.9
288.147	314.54
288.278	294.94
290.237	326.77
290.696	229.01
291.373	360.65
291.448	304.02
291.567	210.38
291.605	320.72
291.799	356.17
291.938	255.38
292.096	356.05
292.136	311.28
296.086	210.39
296.634	359.09
297.343	229.51
297.581	258.42
300.422	350.75
300.709	350.38
300.804	355.34
301.148	267.39
301.339	267.14
303.88	229.76
303.905	210.04
305.505	352.33
305.629	266.43
308.002	341.81
309.142	210.42
309.417	347.14
310.03	230.38
310.693	272.61
311.52	280.84
313.167	342.91
313.799	330.94
313.813	331.3
315.374	281.82
315.893	338.2
316.368	210.31
316.717	298.03
316.995	297.43
317.271	230.64
317.396	317.76
317.692	317.64
318.97	288.97
319.389	330.1
320.91	325.39
321.255	303.61
321.738	313.29
322.805	210.57
325.219	231.03
325.745	231.63
329.232	210.59
334.338	230.56
335.765	210.72
341.201	233.97
342.694	210.74
342.804	210.98
343.96	237.73
348.393	238.1
352.244	213.55
352.726	238.47
357.551	238.61
362.631	212.12
363.371	241.04
371.732	208.63
372.143	208.88
373.658	239.61
376.633	233.57
378.427	207.8
381.712	222.33
>>>>>>> 9f4ad39b589c6538d565dfa6f78f784af1110863
